teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
12,0.147348,0.033333,
10,0.134694,0,
10,0.125008,0.066667,
13,0.132744,0.033333,
9,0.120414,0.066667,
11,0.130548,0.066667,
10,0.121267,0.033333,
10,0.118462,0.066667,
12,0.142292,0,
13,0.140964,0.033333,
,,,
11,0.1313741,0.04,Mean
1.341640786,0.009536455,0.024944561,Std
9,0.118462,0,Min
13,0.147348,0.066667,Max
