teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
819,1611.424093,0.058108,
821,1559.03076,0.052027,
819,1504.872877,0.047973,
819,1541.835487,0.052703,
821,1521.665976,0.039189,
820,1564.301948,0.047973,
807,1431.470998,0.044595,
814,1492.280963,0.053378,
822,1600.326679,0.05473,
802,1729.964043,0.058784,
,,,
816.4,1555.717382,0.050946,Mean
6.390618123,76.7714213,0.005774574,Std
802,1431.470998,0.039189,Min
822,1729.964043,0.058784,Max
