teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
24,1.148731,0.001647,
26,1.205409,0.003295,
26,1.250305,0.001647,
23,1.280635,0,
26,1.267455,0,
25,1.247376,0.003295,
24,1.225485,0.001647,
22,1.182865,0.001647,
27,1.254241,0.001647,
26,1.189602,0,
,,,
24.9,1.2252104,0.0014825,Mean
1.513274595,0.040153059,0.001153214,Std
22,1.148731,0,Min
27,1.280635,0.003295,Max
