teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
119,3.041825,0.166667,
131,3.564883,0.259259,
132,3.703475,0.185185,
129,3.840707,0.388889,
132,3.760931,0.296296,
126,3.81526,0.203704,
131,3.776303,0.148148,
129,3.315091,0.240741,
126,3.26435,0.277778,
132,3.487354,0.222222,
,,,
128.7,3.5570179,0.2388889,Mean
3.9,0.259385128,0.067510091,Std
119,3.041825,0.148148,Min
132,3.840707,0.388889,Max
