teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
33,0.535086,0.27907,
34,0.533781,0.302326,
32,0.522663,0.255814,
34,0.543894,0.325581,
33,0.540976,0.325581,
33,0.530232,0.302326,
34,0.544591,0.302326,
33,0.520194,0.348837,
33,0.522896,0.302326,
33,0.532975,0.27907,
,,,
33.2,0.5327288,0.3023257,Mean
0.6,0.008375401,0.025475306,Std
32,0.520194,0.255814,Min
34,0.544591,0.348837,Max
