teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
10,0.011839,0.1,
10,0.019989,0.1,
10,0.012695,0.1,
10,0.024192,0.1,
10,0.019122,0.1,
10,0.009814,0.066667,
9,0.010043,0.066667,
10,0.012664,0.1,
10,0.0112,0.1,
11,0.019184,0.1,
,,,
10,0.0150742,0.0933334,Mean
0.447213595,0.004800968,0.0133332,Std
9,0.009814,0.066667,Min
11,0.024192,0.1,Max
