teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
58,0.594192,0.174497,
57,0.581837,0.147651,
59,0.566204,0.16443,
58,0.581111,0.151007,
59,0.575154,0.151007,
58,0.615102,0.157718,
57,0.588807,0.171141,
58,0.601541,0.171141,
57,0.578219,0.137584,
54,0.60483,0.157718,
,,,
57.5,0.5886997,0.1583894,Mean
1.360147051,0.014340211,0.011310302,Std
54,0.566204,0.137584,Min
59,0.615102,0.174497,Max
