teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
103,1.152172,0.038961,
101,1.121648,0.045455,
101,1.212294,0.047619,
103,1.141869,0.04329,
99,1.141736,0.038961,
104,1.04819,0.049784,
97,1.040967,0.030303,
101,1.114468,0.045455,
98,1.178099,0.054113,
99,1.081728,0.047619,
,,,
100.6,1.1233171,0.044156,Mean
2.2,0.05164334,0.006362448,Std
97,1.040967,0.030303,Min
104,1.212294,0.054113,Max
