teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
45,0.275769,0.070796,
47,0.254619,0.044248,
47,0.260798,0.061947,
44,0.221432,0.035398,
45,0.266387,0.053097,
45,0.218316,0.053097,
47,0.268055,0.079646,
48,0.246722,0.061947,
45,0.248442,0.035398,
45,0.300595,0.061947,
,,,
45.8,0.2561135,0.0557521,Mean
1.2489996,0.023271817,0.013738231,Std
44,0.218316,0.035398,Min
48,0.300595,0.079646,Max
