teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
8,0.014936,0.021277,
9,0.014774,0.021277,
8,0.014234,0.021277,
9,0.023776,0.06383,
10,0.017293,0,
9,0.013148,0,
10,0.01568,0.042553,
9,0.015012,0.021277,
8,0.01957,0.170213,
8,0.013643,0,
,,,
8.8,0.0162066,0.0361704,Mean
0.748331477,0.003081849,0.048564757,Std
8,0.013148,0,Min
10,0.023776,0.170213,Max
