teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
12,0.024983,0.069767,
12,0.033675,0.069767,
13,0.03317,0.046512,
13,0.039188,0.069767,
14,0.023521,0.069767,
14,0.020467,0.069767,
12,0.031277,0.046512,
12,0.02853,0.069767,
13,0.036112,0.046512,
14,0.051404,0.069767,
,,,
12.9,0.0322327,0.0627905,Mean
0.830662386,0.008458307,0.01065678,Std
12,0.020467,0.046512,Min
14,0.051404,0.069767,Max
