teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
16,0.095318,0.1,
17,0.130829,0.075,
18,0.092929,0.065,
16,0.114172,0.07,
14,0.093788,0.075,
17,0.091033,0.075,
17,0.103694,0.095,
17,0.094543,0.08,
15,0.090582,0.035,
16,0.100003,0.06,
,,,
16.3,0.1006891,0.073,Mean
1.1,0.012122556,0.017204651,Std
14,0.090582,0.035,Min
18,0.130829,0.1,Max
