teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
18,0.276632,0.021417,
17,0.294709,0.067545,
18,0.478462,0.085667,
17,0.283751,0.125206,
21,0.38177,0.047776,
21,0.310981,0.065898,
21,0.247531,0.042834,
18,0.241902,0.042834,
20,0.314134,0.060956,
18,0.254302,0.011532,
,,,
18.9,0.3084174,0.0571665,Mean
1.577973384,0.06870343,0.030821294,Std
17,0.241902,0.011532,Min
21,0.478462,0.125206,Max
