teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
27,0.045402,0.418605,
30,0.050149,0.348837,
28,0.04463,0.511628,
29,0.049991,0.348837,
28,0.080433,0.395349,
29,0.051722,0.418605,
29,0.047936,0.348837,
28,0.048471,0.418605,
28,0.073985,0.325581,
29,0.045475,0.395349,
,,,
28.5,0.0538194,0.3930233,Mean
0.806225775,0.011981691,0.051426563,Std
27,0.04463,0.325581,Min
30,0.080433,0.511628,Max
