teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
118,0.210348,0.128571,
118,0.171859,0.142857,
118,0.249573,0.128571,
117,0.192849,0.142857,
119,0.253867,0.128571,
119,0.192909,0.128571,
120,0.220636,0.114286,
119,0.188651,0.142857,
116,0.209995,0.142857,
120,0.184285,0.128571,
,,,
118.4,0.2074972,0.1328569,Mean
1.2,0.025882383,0.0091473,Std
116,0.171859,0.114286,Min
120,0.253867,0.142857,Max
