teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
5,0.01454,0,
5,0.012288,0,
5,0.012458,0,
5,0.023628,0,
5,0.022103,0,
5,0.025038,0,
5,0.014048,0,
5,0.014396,0,
5,0.013078,0,
5,0.014289,0,
,,,
5,0.0165866,0,Mean
0,0.004690229,0,Std
5,0.012288,0,Min
5,0.025038,0,Max
