teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
36,0.066809,0.027778,
35,0.058424,0.027778,
35,0.075757,0.027778,
37,0.067058,0.027778,
36,0.080142,0.027778,
35,0.051612,0.027778,
33,0.059933,0,
35,0.07514,0.027778,
37,0.058251,0.027778,
35,0.059383,0.055556,
,,,
35.4,0.0652509,0.027778,Mean
1.113552873,0.008831464,0.012422699,Std
33,0.051612,0,Min
37,0.080142,0.055556,Max
