teta = 0.400000 ,,,
No hyperboxes, Training time, Testing error,
131,0.172232,0.166667,
131,0.162778,0.166667,
130,0.179301,0.185185,
131,0.177437,0.166667,
131,0.150705,0.185185,
129,0.158546,0.166667,
129,0.141454,0.166667,
130,0.169903,0.148148,
130,0.158942,0.185185,
130,0.171603,0.166667,
,,,
130.2,0.1642901,0.1703705,Mean
0.748331477,0.011472361,0.011111,Std
129,0.141454,0.148148,Min
131,0.179301,0.185185,Max
