teta = 0.250000, simil_thres = 0.500000Training time, Testing error
0.15374,0.01,
0.153182,0,
0.155789,0,
0.143046,0.01,
0.155261,0,
0.143448,0,
0.161725,0,
0.160932,0,
0.155307,0,
0.157664,0,
,,
0.1540094,0.002,Mean
0.005997689,0.004,Std
0.143046,0,Min
0.161725,0.01,Max
