teta = 0.250000, simil_thres = 0.500000Training time, Testing error
2.286065,0.06734,
2.31253,0.063973,
2.348176,0.037037,
2.322617,0.06734,
2.246873,0.057239,
2.276234,0.060606,
2.280925,0.06734,
2.252385,0.063973,
2.352635,0.053872,
2.247974,0.040404,
,,
2.2926414,0.0579124,Mean
0.037600058,0.010518844,Std
2.246873,0.037037,Min
2.352635,0.06734,Max
