teta = 0.250000, simil_thres = 0.500000Training time, Testing error
0.417498,0,
0.427512,0.01,
0.416593,0,
0.402749,0,
0.42521,0,
0.428542,0.005,
0.415447,0,
0.4284,0.005,
0.419634,0,
0.456372,0,
,,
0.4237957,0.002,Mean
0.013199536,0.003316625,Std
0.402749,0,Min
0.456372,0.01,Max
