teta = 0.250000, simil_thres = 0.500000Training time, Testing error
0.501738,0,
0.526838,0,
0.487872,0.005,
0.518746,0,
0.510928,0,
0.500637,0,
0.558809,0,
0.493038,0,
0.497442,0,
0.506126,0,
,,
0.5102174,0.0005,Mean
0.019618138,0.0015,Std
0.487872,0,Min
0.558809,0.005,Max
