teta = 0.250000, simil_thres = 0.500000Training time, Testing error
0.366302,0,
0.367948,0,
0.374884,0,
0.375845,0,
0.38626,0,
0.355556,0,
0.359636,0,
0.380698,0,
0.374095,0,
0.364035,0,
,,
0.3705259,0,Mean
0.009057397,0,Std
0.355556,0,Min
0.38626,0,Max
