Teta_start, No hyperboxes, Training time, Testing error
0.900000, 3615.000000, 485.182716, 0.170170
0.800000, 3633.000000, 473.179550, 0.184184
0.700000, 3576.000000, 458.615467, 0.163163
0.600000, 3558.000000, 471.050596, 0.166166
0.500000, 3534.000000, 440.396248, 0.172172
0.400000, 3320.000000, 335.685730, 0.157157
0.300000, 2457.000000, 152.832696, 0.180180
0.200000, 2467.000000, 51.332446, 0.222222
0.100000, 4000.000000, 48.328227, 0.249249
