Teta_start, No hyperboxes, Training time, Testing error
0.900000, 46.000000, 9.642668, 0.003295
0.800000, 46.000000, 12.029741, 0.003295
0.700000, 46.000000, 8.052082, 0.003295
0.600000, 44.000000, 8.944432, 0.003295
0.500000, 45.000000, 10.067093, 0.003295
0.400000, 36.000000, 5.198968, 0.004942
0.300000, 35.000000, 4.736220, 0.003295
0.200000, 40.000000, 5.045462, 0.006590
0.100000, 92.000000, 4.950660, 0.001647
