Teta_start, No hyperboxes, Training time, Testing error
0.900000, 7.000000, 0.094928, 0.000000
0.800000, 7.000000, 0.093806, 0.000000
0.700000, 7.000000, 0.120891, 0.000000
0.600000, 7.000000, 0.086251, 0.000000
0.500000, 7.000000, 0.085962, 0.000000
0.400000, 12.000000, 0.094161, 0.000000
0.300000, 18.000000, 0.109131, 0.000000
0.200000, 26.000000, 0.140133, 0.000000
0.100000, 71.000000, 0.312365, 0.000000
