Teta_start, No hyperboxes, Training time, Testing error
0.900000, 102.000000, 4.178917, 0.020000
0.800000, 91.000000, 3.960611, 0.020000
0.700000, 95.000000, 3.738924, 0.020000
0.600000, 87.000000, 3.620508, 0.010000
0.500000, 78.000000, 3.212544, 0.015000
0.400000, 95.000000, 2.967114, 0.030000
0.300000, 82.000000, 2.764830, 0.030000
0.200000, 82.000000, 2.419132, 0.005000
0.100000, 137.000000, 1.790637, 0.015000
