Teta_start, No hyperboxes, Training time, Testing error
0.900000, 12.000000, 0.168136, 0.055556
0.800000, 11.000000, 0.069374, 0.055556
0.700000, 14.000000, 0.106260, 0.027778
0.600000, 17.000000, 0.037120, 0.055556
0.500000, 22.000000, 0.045008, 0.027778
0.400000, 37.000000, 0.064293, 0.027778
0.300000, 62.000000, 0.092728, 0.000000
0.200000, 110.000000, 0.071058, 0.000000
0.100000, 141.000000, 0.055451, 0.000000
