Teta_start, No hyperboxes, Training time, Testing error
0.900000, 31.000000, 0.453944, 0.069767
0.800000, 35.000000, 0.496492, 0.046512
0.700000, 40.000000, 0.480554, 0.069767
0.600000, 25.000000, 0.257138, 0.069767
0.500000, 15.000000, 0.094102, 0.046512
0.400000, 24.000000, 0.246738, 0.093023
0.300000, 18.000000, 0.027760, 0.046512
0.200000, 31.000000, 0.036484, 0.093023
0.100000, 67.000000, 0.056097, 0.046512
