teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
35,0.173276,0.045,
39,0.184277,0.11,
36,0.153562,0.075,
35,0.155739,0.085,
33,0.158047,0.065,
35,0.165359,0.04,
34,0.157795,0.055,
34,0.175845,0.04,
38,0.185699,0.095,
33,0.15427,0.065,
,,,
35.2,0.1663869,0.0675,Mean
1.886796226,0.011828079,0.022610838,Std
33,0.153562,0.04,Min
39,0.185699,0.11,Max
