teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
45,0.428872,0.00659,
42,0.428556,0.011532,
40,0.411176,0.00659,
42,0.427826,0.008237,
44,0.42543,0.008237,
41,0.48431,0.011532,
42,0.431018,0.011532,
40,0.420671,0.008237,
40,0.420942,0.004942,
43,0.427269,0.004942,
,,,
41.9,0.430607,0.0082371,Mean
1.640121947,0.018726387,0.00244357,Std
40,0.411176,0.004942,Min
45,0.48431,0.011532,Max
