teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
10,0.204982,0.1,
10,0.204228,0.1,
10,0.212482,0.1,
10,0.197378,0.1,
10,0.234825,0.1,
10,0.217276,0.1,
10,0.211391,0.1,
10,0.230558,0.1,
10,0.19801,0.1,
10,0.209877,0.1,
,,,
10,0.2121007,0.1,mean
0,0.011905479,0,Std
10,0.197378,0.1,Min
10,0.234825,0.1,Max
