teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
131,0.855024,0.185185,
131,0.798721,0.166667,
131,0.754626,0.166667,
131,0.780934,0.185185,
131,0.791717,0.166667,
131,0.783817,0.185185,
131,0.753562,0.166667,
131,0.780221,0.185185,
131,0.776163,0.166667,
131,0.798648,0.185185,
,,,
131,0.7873433,0.175926,mean
0,0.027014612,0.009259,Std
131,0.753562,0.166667,Min
131,0.855024,0.185185,Max
