teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
40,31.30873,0.015,
40,32.05307,0.015,
40,34.370894,0.015,
40,31.043337,0.015,
40,33.304544,0.015,
40,31.113943,0.015,
40,30.794151,0.015,
40,30.573479,0.015,
40,30.685248,0.015,
40,34.894862,0.015,
,,,
40,32.0142258,0.015,mean
0,1.519860329,3.46945E-18,Std
40,30.573479,0.015,Min
40,34.894862,0.015,Max
