teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
50,21.736799,0.070796,
50,22.370425,0.070796,
50,22.066035,0.070796,
50,22.083466,0.070796,
50,21.851156,0.070796,
50,21.865945,0.070796,
50,22.005887,0.070796,
50,21.797956,0.070796,
50,21.958965,0.070796,
50,21.831649,0.070796,
,,,
50,21.9568283,0.070796,mean
0,0.176121075,1.38778E-17,Std
50,21.736799,0.070796,Min
50,22.370425,0.070796,Max
