teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
58,88.017557,0.177852,
57,87.790236,0.174497,
57,86.11091,0.174497,
57,85.208142,0.171141,
56,85.516696,0.167785,
57,86.040741,0.174497,
57,85.455998,0.174497,
57,88.438133,0.174497,
57,91.553579,0.174497,
58,85.167041,0.171141,
,,,
57.1,86.9299033,0.1734901,mean
0.538516481,1.930786201,0.002620953,Std
56,85.167041,0.167785,Min
58,91.553579,0.177852,Max
