teta = 0.250000Training time, Testing error,
3.320732,0.008658,
3.38324,0.010823,
3.373901,0.008658,
3.611503,0.008658,
3.365911,0.004329,
3.457897,0.002165,
3.468155,0.015152,
3.41771,0.008658,
3.351064,0.010823,
3.305823,0.004329,
,,
3.4055936,0.0082253,Mean
0.085089962,0.003596022,std
3.305823,0.002165,Min
3.611503,0.015152,Max
