teta = 0.250000Training time, Testing error,
0.053776,0,
0.111186,0,
0.115099,0,
0.112661,0,
0.097747,0,
0.10487,0,
0.093792,0,
0.094511,0,
0.114661,0,
0.094182,0,
,,
0.0992485,0,Mean
0.017293563,0,Std
0.053776,0,Min
0.115099,0,Max
