teta = 0.250000Training time, Testing error,
0.119432,0,
0.130781,0,
0.118534,0,
0.104492,0,
0.126072,0,
0.100289,0,
0.106213,0,
0.119883,0,
0.106383,0,
0.105982,0,
,,
0.1138061,0,Mean
0.009863927,0,Std
0.100289,0,Min
0.130781,0,Max
