teta = 0.250000Training time, Testing error,
0.194412,0.035,
0.205302,0.04,
0.218173,0.055,
0.205884,0.065,
0.197489,0.045,
0.209953,0.05,
0.191734,0.04,
0.207304,0.035,
0.208346,0.045,
0.198224,0.055,
,,
0.2036821,0.0465,Mean
0.007671311,0.006403124,Std
0.191734,0.035,Min
0.218173,0.065,Max
