teta = 0.250000Training time, Testing error,
0.067234,0.046512,
0.080749,0.093023,
0.072338,0.046512,
0.085758,0.116279,
0.082695,0.069767,
0.087266,0.023256,
0.067923,0.093023,
0.070512,0.116279,
0.071142,0.069767,
0.059171,0.069767,
,,
0.0744788,0.0744185,Mean
0.00871092,0.029046366,std
0.059171,0.023256,Min
0.087266,0.116279,Max
