teta = 0.250000Training time, Testing error,
0.442611,0.028169,
0.45181,0.028169,
0.467941,0.042254,
0.47655,0.014085,
0.457912,0.014085,
0.468788,0.028169,
0.461042,0.014085,
0.487995,0.028169,
0.442107,0.014085,
0.493518,0.014085,
,,
0.4650274,0.0225355,Mean
0.016624314,0.00934248,Std
0.442107,0.014085,Min
0.493518,0.042254,Max
