teta = 0.250000Training time, Testing error,
0.04626,0.023256,
0.038086,0.046512,
0.043825,0.046512,
0.040398,0.023256,
0.044574,0.023256,
0.037648,0,
0.040747,0.023256,
0.040194,0,
0.040877,0.046512,
0.04809,0.046512,
,,
0.0420699,0.0279072,Mean
0.00328727,0.017403197,Std
0.037648,0,Min
0.04809,0.046512,Max
