teta = 0.250000Training time, Testing error,
0.213526,0.037037,
0.220314,0.018519,
0.206541,0,
0.197636,0.074074,
0.207575,0.037037,
0.202244,0.055556,
0.217669,0.018519,
0.214349,0,
0.220586,0.055556,
0.222508,0.055556,
,,
0.2122948,0.0351854,Mean
0.008020351,0.024074108,Std
0.197636,0,Min
0.222508,0.074074,Max
