teta = 0.250000Training time, Testing error,
0.029236,0.033333,
0.022937,0,
0.017583,0,
0.018915,0.033333,
0.018199,0.033333,
0.017415,0.066667,
0.021132,0.033333,
0.017866,0.033333,
0.018234,0.033333,
0.019651,0.033333,
,,
0.0201168,0.0299998,mean
0.003461418,0.017950574,std
0.017415,0,Min
0.029236,0.066667,Max
