teta = 0.250000Training time, Testing error,
0.16302,0.05,
0.181376,0.085,
0.155206,0.09,
0.154415,0.085,
0.166702,0.09,
0.164401,0.09,
0.16245,0.05,
0.138069,0.1,
0.165273,0.075,
0.153765,0.07,
,,
0.1604677,0.0785,Mean
0.010658225,0.016286497,Std
0.138069,0.05,Min
0.181376,0.1,Max
