teta = 0.250000Training time, Testing error,
0.025496,0,
0.015607,0,
0.021968,0,
0.026482,0,
0.023212,0,
0.0162,0,
0.018798,0,
0.02538,0,
0.015327,0,
0.027603,0,
,,
0.0216073,0,Mean
0.004520491,0,Std
0.015327,0,Min
0.027603,0,Max
