teta = 0.250000Training time, Testing error,
0.595349,0.008772,
0.699269,0.008772,
0.585553,0.008772,
0.596023,0.026316,
0.585577,0.017544,
0.611907,0.017544,
0.602857,0.017544,
0.64201,0.008772,
0.58517,0.017544,
0.610836,0.017544,
,,
0.6114551,0.0149124,Mean
0.033538717,0.006403124,Std
0.58517,0.008772,Min
0.699269,0.026316,Max
